ID RENABAP,Provincia,Municipio,Barrio,Localidad,Tipo de UE,Tipo de Proyecto,Nombre de Proyecto,Financiamiento,Estado,Monto Total,Acta de Inicio Real,% Avance físico
468,Buenos Aires,La Plata,La Aceitera,Arana,OSC,POT,Obras de Equipamiento Comunitario,FISU,En ejecución,"$155,385,627.79",6/12/2023,32.96%
4833,Río Negro,General Roca,Actia,Cipolletti,OSC,POT,Obras de Equipamiento Recreativo y Playón Polideportivo,FISU,En ejecución,"$186,666,929.88",14/10/2023,9.73%
1795,Santa Fe,Rosario,La Bombacha,Rosario,OSC,POT,"Obras de conexiones e instalaciones intra lote de electricidad, Red peatonal, arbolado público y equipamiento urbano",FISU,En ejecución,"$297,049,321.83",8/11/2023,23.40%
4241,Buenos Aires,Quilmes,San Cayetano,Quilmes Oeste,OSC,POT,Obras de Equipamiento comunitario,FISU,En ejecución,"$75,349,344.13",11/12/2023,20.75%
1176,Buenos Aires,Lomas de Zamora,La Lonja,Villa Fiorito,OSC,POT,Equipamiento comunitario,FISU,En ejecución,"$700,199,452.42",6/6/2023,13.12%
1305,Buenos Aires,Lomas de Zamora,Unión y Fuerza,Santa Catalina,OSC,POT,Obra de conexiones e instalaciones intra lote de  agua (ETAPA 2),FISU,En ejecución,"$230,130,560.80",12/4/2024,20.74%
72,Buenos Aires,Lomas de Zamora,Ocho de Diciembre,Villa Fiorito,OSC,POT,"Obras de conexiones e instalaciones intra lote de electricidad, red peatonal, arbolado público y equipamiento urbano (Etapa 2)",FISU,En ejecución,"$272,486,753.80",26/12/2023,28.00%
5397,Buenos Aires,Cañuelas,Manuel Belgrano,Máximo Paz,OSC,POT,Obra de Equipamiento Comunitario,FISU,En ejecución,"$494,025,796.87",21/11/2023,20.25%
5944,Santiago del Estero,Suncho Corral,Challua,Suncho Corral,OSC,POT,Obras de conexiones e instalaciones intra lote de electricidad,FISU,En ejecución,"$149,112,588.42",24/7/2023,77.30%
378,Buenos Aires,Berisso,Santa Cruz,Berisso,OSC,POT,Centro Verde,FISU,En ejecución,"$3,792,863,324.35",31/7/2023,53.17%
274,Buenos Aires,Almirante Brown,Las latitas,Don orione,OSC,POT,Centro Verde,FISU,En ejecución,"$1,254,777,161.13",31/7/2023,60.34%
3511,Santiago del Estero,La Banda,IV Centenario,La Banda,OSC,POT,Obras de Red Pluvial,FISU,En ejecución,"$181,879,881.84",24/7/2023,60.09%
2648,Río Negro,San Carlos De Bariloche,Alun Ruca,Bariloche,OSC,POT,Equipamiento educativo.,FISU,En ejecución,"$314,202,339.98",29/8/2023,60.60%
2995,Santa Fe,Santa Fe,La Villa,La Capital,OSC,POT,Obras de conexiones e instalaciones intra lote de electricidad y red peatonal,FISU,En ejecución,"$365,580,800.79",25/9/2023,100.00%
4283/585/608,Buenos Aires,Tandil,La Unión/Movediza I,Tandil,OSC,POT,Obras de Integración Socio Urbana,FISU,En ejecución,"$166,453,085.54",1/11/2023,100.00%
4759,Buenos Aires,Olavarría,Matadero,Olavarria,OSC,POT,"Obras de Playón deportivo cubierto, espacio recreativo, conexiones e instalaciones intra lote de agua y electricidad y red peatonal",FISU,En ejecución,"$357,735,900.11",12/9/2023,53.00%
1561,Buenos Aires,General San Martín,La Carcova,General San Martin,OSC,POT,Obras de instalaciones intra lote de electricidad y mejoramiento de núcleos húmedos (Etapa 2),FISU,Terminado,"$341,935,801.17",23/6/2023,100.00%
680,Buenos Aires,San Vicente,San José 1,San Vicente,OSC,POT,Obras de conexiones e instalaciones intra lote de electricidad,FISU,En ejecución,"$434,545,389.48",25/9/2023,71.15%
999,Buenos Aires,Berisso,Villa Arguello,Berisso,OSC,POT,Obras de instalaciones intra lote de agua y  electricidad (Etapa 2),FISU,Terminado,"$424,859,620.43",18/7/2023,100.00%
2873,Buenos Aires,La Plata,El Mercadito,Tolosa,OSC,POT,Equipamiento recreativo,FISU,En ejecución,"$165,978,944.86",16/11/2023,52.65%
1568,Buenos Aires,La Plata,La Isla,Ringuelet,OSC,POT,Obras de Equipamiento comunitario,FISU,En ejecución,"$104,801,559.30",11/9/2023,36.90%
2,Buenos Aires,La Plata,Malvinas II,Jose Melchor Romero,OSC,POT,Obras de equipamiento comunitario.,FISU,En ejecución,"$47,043,052.92",2/9/2023,30.25%
1055,Buenos Aires,La Plata,Sin Nombre,Los Hornos,OSC,POT,Equipamiento comunitario,FISU,En ejecución,"$48,645,065.77",29/8/2023,44.73%
97,Buenos Aires,La Plata,"El Zanjón/""19 y 77""",Altos de San Lorenzo,OSC,POT,Obras de ampliación y mejoramiento de espacio comunitario. (VILLA LENCI 1),FISU,En ejecución,"$152,028,205.04",26/6/2023,81.02%
106,Buenos Aires,La Plata,Carlos Agosti,Villa Elvira,OSC,POT,Equipamiento comunitario,FISU,En ejecución,"$94,965,445.20",24/9/2023,24.13%
65,Buenos Aires,La Plata,Barrio Nuevo,Jose Melchor Romero,OSC,POT,Equipamiento comunitario,FISU,En ejecución,"$172,983,667.33",12/6/2023,69.02%
97,Buenos Aires,La Plata,"El Zanjón/""19 y 77""",Altos de San Lorenzo,OSC,POT,Obras de Equipamiento Comunitario,FISU,En ejecución,"$141,136,490.72",8/8/2023,62.14%
35,Buenos Aires,La Plata,San Cayetano,José Melchor romero,OSC,POT,Equipamiento comunitario,FISU,En ejecución,"$370,538,682.58",21/6/2023,55.66%
700,Buenos Aires,San Fernando,Ferroviario,Victoria,OSC,POT,Conexiones e instalaciones intralote de electricidad y agua,FISU,En ejecución,"$281,038,200.31",18/9/2023,61.93%
2932,Buenos Aires,Lanús,Villa de la Fe,Lanús,OSC,POT,Conexiones e instalaciones intra lote de electricidad y red peatonal (etapa 02),FISU,En ejecución,"$335,042,597.50",4/11/2023,24.37%
4748,Buenos Aires,General Pueyrredón,El Casal,Mar del Plata,OSC,POT,"Obra de conexiones e instalaciones intra lote de electricidad, red peatonal, arbolado público y equipamiento urbano",FISU,En ejecución,"$123,425,913.89",23/11/2023,27.72%
41,Buenos Aires,La Plata,Los Rosales,Lisandro Olmos,OSC,POT,Red peatonal/ electricidad,FISU,En ejecución,"$131,209,850.79",19/11/2023,24.57%
4521,Buenos Aires,La Plata,El Molino,Villa Elisa,OSC,POT,"Obras de conexiones e instalaciones intra lote de electricidad, red peatonal, arbolado público y equipamiento urbano",FISU,En ejecución,"$135,508,079.01",1/7/2024,6.02%
